component,instance,cpu capacity,mem capacity,cpu usage,mem usage,store_usage,instance number
tiflash,10.107.40.129,32,65020956672,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.40.133,32,65020944384,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.64,32,65020948480,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.65,32,65020936192,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.66,32,65020960768,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.67,32,65020940288,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.69,32,65020952576,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.41.72,32,65020952576,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.211,32,65020948480,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.213,32,65020952576,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.215,32,65020948480,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.216,32,65020948480,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.219,32,65020936192,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
tiflash,10.107.42.220,32,65020940288,"{'max': 3.15, 'average': 1.4301602240656879, 'percentile_99.0': 2.7360833333333354}","{'max': 13179236352.0, 'average': 8670015696.592592, 'percentile_99.0': 10220435537.92}","{'used': 551723991900.8649, 'available': 1331997345298.963, 'capacity': 2163346423808.0}",18
pd,10.107.15.154,32,65020948480,"{'max': 2.7333333333333334, 'average': 0.8440999718570897, 'percentile_99.0': 2.617433333334047}","{'max': 3001257984.0, 'average': 2624764518.4, 'percentile_99.0': 2985369927.6800003}",0,3
pd,10.107.16.136,32,65020952576,"{'max': 2.7333333333333334, 'average': 0.8440999718570897, 'percentile_99.0': 2.617433333334047}","{'max': 3001257984.0, 'average': 2624764518.4, 'percentile_99.0': 2985369927.6800003}",0,3
pd,10.107.17.177,32,65020948480,"{'max': 2.7333333333333334, 'average': 0.8440999718570897, 'percentile_99.0': 2.617433333334047}","{'max': 3001257984.0, 'average': 2624764518.4, 'percentile_99.0': 2985369927.6800003}",0,3
ticdc,10.107.2.118,32,132416155648,"{'max': 2.5680000000012417, 'average': 1.5045775707417286, 'percentile_99.0': 2.41271666666683}","{'max': 2435084288.0, 'average': 1769207384.7466667, 'percentile_99.0': 2312117411.84}",0,5
ticdc,10.107.2.119,32,132416172032,"{'max': 2.5680000000012417, 'average': 1.5045775707417286, 'percentile_99.0': 2.41271666666683}","{'max': 2435084288.0, 'average': 1769207384.7466667, 'percentile_99.0': 2312117411.84}",0,5
ticdc,10.107.3.110,32,132416159744,"{'max': 2.5680000000012417, 'average': 1.5045775707417286, 'percentile_99.0': 2.41271666666683}","{'max': 2435084288.0, 'average': 1769207384.7466667, 'percentile_99.0': 2312117411.84}",0,5
ticdc,10.107.3.112,32,132416184320,"{'max': 2.5680000000012417, 'average': 1.5045775707417286, 'percentile_99.0': 2.41271666666683}","{'max': 2435084288.0, 'average': 1769207384.7466667, 'percentile_99.0': 2312117411.84}",0,5
ticdc,10.107.4.244,32,132416176128,"{'max': 2.5680000000012417, 'average': 1.5045775707417286, 'percentile_99.0': 2.41271666666683}","{'max': 2435084288.0, 'average': 1769207384.7466667, 'percentile_99.0': 2312117411.84}",0,5
